"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","M"
13103006400,13103,"64","たかなわみなみまちいせき","高輪南町遺跡","港区 高輪三丁目","[縄文時代（中期）][弥生時代（後期）][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷・その他（道路）","住居跡　炉跡　土坑　道路状遺構　竪穴建物跡　方形周溝墓　焼土廃棄土坑　地下室","[縄文時代][弥生時代][古墳時代]土器　[奈良・平安時代]土師器　須恵器　石器　[近世]陶磁器　土器　金属製品",139.7332249,35.63236242,TRUE
13103006700,13103,"67","きゅうしろがねごりょうちいせき","旧白金御料地遺跡","港区 白金台五丁目","[縄文時代（早～後）][中世][近世]","包蔵地　城館　屋敷","[中世]土塁[近世]土坑　溝　ピット　配石","[縄文時代]土器[近世]陶磁器　土器　金属製品",139.7184964,35.63854299,TRUE
13103008700,13103,"87","しゅんとういんあといせき","春桃院跡遺跡","港区 元麻布一丁目","[中世][近世]","包蔵地 社寺 その他の墓","墓坑 甕棺 礎石建物跡 土坑","陶磁器（江戸時代） 銭貨 人骨 陶器（中世）",139.7325211,35.65253469,TRUE
13103011500,13103,"115","ぜんぷくじじいきいせき","善福寺寺域遺跡","港区 元麻布一丁目","[縄文][弥生][古墳][中世][近世]","包蔵地　集落　社寺","[近世]土坑、柱穴列、土取跡","[縄文]土器、[中世]板碑、[近世]陶磁器、瓦、土製品",139.7319718,35.65401323,TRUE
13103015600,13103,"156","いわみつわのはんかめいけやしきあといせき","石見津和野藩亀井家屋敷跡遺跡","港区 南麻布四丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・墳墓・屋敷","土坑　礎石　道路状遺構　大型方形区画　井戸　墳墓","[縄文時代]土器　[中世]陶器　[江]陶磁器　土器　瓦",139.7271824,35.65049816,TRUE
13103018300,13103,"183","はりまあこうはんもりけやしきあとかそういせき","播磨赤穂藩森家屋敷跡下層遺跡","港区 浜松町一丁目","中世、近世","その他の墓","埋葬施設、上水、溝","人骨、木棺、陶磁器、土器、木製品、銭、獣骨",139.7556322,35.6573313,TRUE
13103022300,13103,"223","ぞうじょうじしいんぐん　てんよういんあといせき","増上寺子院群天陽院跡遺跡","港区 芝公園二丁目","[弥生][古墳][中世][近世]","包蔵地・社寺","[近世]土坑","[弥生〜中世]土器、[近世]陶磁器、土器",139.750923,35.65635382,TRUE
13104001600,13104,"16","つくどじょうあと","筑土城跡","新宿区 筑土八幡町","[中世][近世]","その他の墓・城館・社寺・その他（町屋）","[近世]大型土坑 地下室 土坑 柱穴 植栽痕","磁器 陶器 せっ器 土器 瓦 土製品 金属製品",139.7404739,35.7038249,TRUE
13104001800,13104,"18","うしごめじょうあといせき","牛込城跡","新宿区 袋町 北町 中町 若宮町","[縄文時代][弥生時代（後期）][古墳時代][中世][近世]","集落・城館・屋敷・その他の墓","[弥生時代]住居跡 [近世]地下室 土坑 井戸 甕埋納遺構 小穴 大型土坑 墓 植栽痕 溝状遺構 礎石","磁器 陶器 せっ器 土器 瓦 土製品 金属製品 石製品 貝類 骨角製品 ガラス製品",139.7380147,35.70067335,TRUE
13104002800,13104,"28","おおたどうかんべっかんごてんやまいせき","太田道灌別館御殿山遺跡","新宿区 筑土八幡町","[中世][近世]","城館・社寺","[近世]馬埋葬遺構　甕棺墓","動物遺存体　人骨　甕棺　蔵骨器　泥人形",139.7394096,35.70404793,TRUE
13104003500,13104,"35","みょうしょうじがわNo.1いせき","妙正寺川No.1遺跡","新宿区 西落合二丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地","[旧石器時代]礫群　[縄文時代]土坑　[近世]水田址　井戸状遺構","材　縄文土器　石器　木製品　弥生土器　陶器　磁器　埴輪　土製品　石製品　金属製品　土師器",139.6748036,35.72067884,TRUE
13104004900,13104,"49","しもとつかいせき","下戸塚遺跡","新宿区 西早稲田一丁目　 西早稲田三丁目","[旧石器時代][縄文時代（草創期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ブロック　礫群　[縄文時代]土坑　集石遺構　土坑　炉穴　陥坑　[弥生時代]竪穴式住居　環壕　方形周溝墓　土坑　[古墳時代]竪穴式住居跡　土坑　方形周溝墓　円墳　[奈良時代]竪穴式住居　土坑　掘立柱建物跡　溝　[中世]掘立柱建物跡　柵列　井戸　地下式坑　土坑　溝　方形周溝状区画溝　[近世]建物跡　柵列　地下室　井戸　土坑　溝状遺構　竪穴状遺構　畝状遺構　ピット","剥片　礫　縄文土器　石器　弥生土器　ガラス製小玉　青銅製品　土製勾玉　蓑玉　炭化米　金属製品　石製有孔円板　滑石製管玉　石製品　鉄製品　ガラス製品　ベンガラ塊　土師器　須恵器　灰釉　緑釉陶器　砥石　土製品　鉄器　墨書土器　磁器　陶器　瓦器　中世土器　埋納銭貨　青磁　土製品　瓦　木製品　近世土器",139.7169465,35.71088671,TRUE
13104006700,13104,"67","かすみがおかまちいせき","霞ヶ丘町遺跡","新宿区 霞ヶ丘町","[縄文時代（早期〜前期）][中世][近世][近代]","包蔵地・その他の墓・社寺・その他（暗渠下水）","[中世]土坑 溝 井戸 道路跡 [近世]池跡 井戸 溝 土坑 建物跡 土蔵 段切 採土坑 柱穴列 石組 墓坑 道路 [近代]下水暗渠","(縄文)土器 (弥生)土器 石製品（勾玉） (中世)舶載陶磁器（青白磁・白磁） 国産陶器 石製品(板碑) (近世)舶載陶磁器(青花・白磁) 国産陶磁器 土製品 瓦 金属製品 石製品 木製品 ガラス製品 骨角製品　[近代]陶磁器",139.716293,35.677074,TRUE
13104006800,13104,"68","きたしんじゅくさんちょうめいせき","北新宿三丁目遺跡","新宿区 北新宿三丁目","[旧石器時代][縄文時代（前期〜中期）][弥生時代（後期）][古墳時代][中世][近世]","包蔵地・集落","[弥生時代]竪穴住居跡　[古墳時代]竪穴住居跡　[中世]地下式壙　土坑　小穴　[近世]地下室　土坑　柱穴　溝","石器　尖頭器　石核　剥片　縄文土器　弥生土器　ガラス小玉　炭化米　古墳土器　ガラス小玉　磁器　陶器　せっ器　近世土器　瓦　金属製品",139.689965,35.70440123,TRUE
13104007300,13104,"73","つくどはちまんちょういせき","筑土八幡町遺跡","新宿区 筑土八幡町　 白銀町","[縄文時代（早期〜晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・屋敷","[中世]井戸　土坑　[近世]建物跡　井戸　地下室状遺構　ごみ穴　溝状遺構　杭列　土坑　小穴　柱穴　井戸状遺構　桶埋設遺構　礎石　柱穴列　井戸跡　埋桶　胞衣皿埋納遺構　粘土採掘坑　[江戸時代以前]住居跡　溝状遺構　土坑","縄文土器　石器　弥生土器　土師器　須恵器　板碑　磁器　陶器　せっ器　近世土器　瓦　土製品　金属製品　木製品　骨角製品　ガラス製品　石製品　中世陶磁器",139.739444,35.70358792,TRUE
13104010100,13104,"101","ぎょうがんじあと","行元寺跡","新宿区 神楽坂五丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][平安時代][中世][近世]","包蔵地・社寺","[旧石器時代]礫群　[縄文時代]遺物集中部　[古墳時代]竪穴住居跡　[平安時代]竪穴住居跡　[中世]地点貝塚　[中世][近世]土壙墓　板碑集中壙　方形区画溝・溝状遺構　建物跡　竹樋　地下室・室状遺構　井戸・井戸状遺構　水溜状遺構　池跡?　ごみ穴　方形土坑　石列　埋桶　埋甕　胞衣埋納遺構　胎児埋葬遺構　イヌ埋葬遺構","石器　礫　縄文土器　石器　弥生土器　土師器　須恵器　磁器　陶器　せっ器　土器　瓦　土製品　金属製品　木製品　骨角製品　ガラス製品　石製品（板碑等）",139.7391693,35.70264002,TRUE
13104011500,13104,"115","かしわぎよどばしちょういせき","柏木淀橋町遺跡","新宿区 北新宿二丁目","[縄文時代（前期〜中期）][古墳時代][中世][近世]","包蔵地・その他（町屋）","","",139.6884014,35.69609467,TRUE
13104012400,13104,"124","しなのまちみなみいせき","信濃町南遺跡","新宿区 信濃町 南元町","[旧石器][縄文時代（中期〜後期）][中世][近世]","包蔵地・屋敷","[旧石器]炭化物集中部　[縄文時代]炉穴　土杭　小穴　[近世]地下室　半地下室　井戸　溝状遺構　建物跡　土坑　ごみ穴　採土坑　焼土跡　ピット　小穴列　礎石　道路遺構　硬化面　池跡　上水遺構　退避壕　埋桶　木杭　植栽痕　胞衣埋納遺構　[近代]土坑","(縄文)縄文土器 石器 剥片 礫 (中世)板碑 銭貨 (近世)磁器 陶器 せっ器 土器 瓦 土製品 金属製品 木製品 ガラス製品 骨角製品 石製品 銭貨 貝製品 皮製品 自然遺物",139.7199646,35.68117118,TRUE
13104012800,13104,"128","しんじゅくろくちょうめいせき","新宿六丁目遺跡","新宿区 新宿六丁目","[縄文時代（早期〜中期）][中世][近世]","集落・屋敷","","",139.708635,35.69656346,TRUE
13104013800,13104,"138","しろがねちょうにしいせき","白銀町西遺跡","新宿区 白銀町 赤城元町","[縄文時代][弥生時代（後期）][古墳時代][奈良時代][中世][近世]","集落・屋敷","[弥生時代]〜[古墳時代]住居跡 溝状遺構 方形周溝墓 土坑 [奈良時代]住居跡 [近世]地下室 土坑 井戸 溝 柱穴 甕棺 蔵骨器","弥生土器 土師器 須恵器 磁器 陶器 せっ器 近世土器 瓦 土製品 金属製品 骨角製品 石製品 古墳土器",139.7374699,35.70457764,TRUE
13105000300,13105,"3","おおつかさんちょうめいせき","大塚三丁目遺跡","文京区 大塚三丁目","[縄文時代][古墳時代][中世][近世]","包蔵地・貝塚?・屋敷・その他（村）","[縄文時代]土坑　[中世]溝　[近世]地下室　井戸　土坑　柱穴列　礎石列など","（縄文）土器・石器　（古墳）土師器・須恵器　（中世）せっ器・土製品・板碑　（近世）陶磁器・せっ器・土器・土製品・瓦・金属製品・石製品など",139.7373743,35.7204176,TRUE
13105003300,13105,"33","ゆみちょういせき","弓町遺跡","文京区 本郷一丁目","[旧石器時代][縄文時代][弥生時代（後期）][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[奈良時代]堅穴住居　[近世]地下室　井戸　土坑","縄文土器・敲石　土器・陶磁器・金属器　（奈良）土師器・須恵器　（近世）陶磁器・土器",139.7564631,35.70617294,TRUE
13105005100,13105,"51","まさごちょう（まさご）いせき","真砂町（真砂）遺跡","文京区 本郷四丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","集落・屋敷","[縄文時代]炉穴　[奈良平安時代]住居跡　柱穴　土坑　[近世]上水道　井戸　地下室","縄文土器　土師器　須恵器　陶磁器類",139.7560167,35.70843107,TRUE
13105005800,13105,"58","ほんごうもとまちいせき","本郷元町遺跡","文京区 本郷一丁目","[縄文時代（前期～中期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[近世・近代以降]井戸　地下式坑　土坑　柱穴群　礎石群　溝状遺構　下水施設　池　レンガ遺構　互列遺構　[近世以降]桶　土坑　溝　礎石など　[近世]地下式坑","(旧石器)ナイフ形石器など　(縄文)土器　石器　(弥生)扁平片刃石斧　土器　(古墳)土師器　須恵器　(奈良・平安)土師器　須恵器　(中世)陶器　(近世)磁器　陶器　炻器　土器　互　金属製品　石製品　土製品　木製品　自然遺物　その他",139.7568407,35.70266017,TRUE
13105006000,13105,"60","こうらくいち・にちょうめいせき","後楽一・二丁目遺跡","文京区 後楽一丁目　後楽二丁目","[縄文時代][中世][近世]","屋敷","[中世]溝　[近世]建物跡　土蔵跡　井戸　溝　ピット　樋基礎　境杭列　境溝　土坑　上水遺構　埋桶　池　落ち込み","（縄文）石器　（中世）陶器　（近世）土器・陶磁器・瓦・木製品・石製品・土製品・金属製品・漆製品",139.7453737,35.70542022,TRUE
13105006200,13105,"62","みょうがだにまちいせき","茗荷谷町遺跡","文京区 小日向四丁目","[中世][近世]","社寺?","[近世]地下式坑　土坑","（近世)陶磁器・土器・墓石",139.7372713,35.71623646,TRUE
13105006500,13105,"65","おおつかさかしたまちいせき","大塚坂下町遺跡","文京区 大塚五丁目","[縄文時代][中世][近世]","包蔵地・社寺","溝状遺構　土坑　小穴　[近世]溝　盛土　[近代]建物基礎　溝状遺構　土坑","陶磁器　瓦　縄文土器（早期）　陶器　せっ器　近世土器　磁器",139.7261477,35.72033398,TRUE
13105007300,13105,"73","こひなただいまちみなみいせき","小日向台町南遺跡","文京区 小日向一丁目","[旧石器時代][縄文時代][弥生時代][奈良時代][中世][近世]","包蔵地・集落・屋敷","[縄文時代]陥穴　[弥生時代]竪穴住居跡　[奈良時代]竪穴住居跡　[中世]井戸 土坑墓　[近世]地下室 井戸","(旧石器)石器　(縄文)土器　(弥生)土器　(奈良)土師器 須恵器　(近世)陶磁器 土器",139.7361727,35.71261262,TRUE
13105011300,13105,"113","せんだぎさんちょうめきたいせき","千駄木三丁目北遺跡","文京区 千駄木三丁目","[縄文時代][古墳時代][中世][近世]","包蔵地・集落・屋敷","[縄文時代]土坑　[古墳時代]住居跡　土坑　堅穴状遺構　[近世]地下室　大型土坑　土坑　井戸　溝","（縄文）土器・打製石斧・磨石・石核・剥片　（古墳）土師器　（中世）陶磁器・土器　（近世）陶磁器・土製品・瓦・石製品・銭貨・金属製品・骨角製品・ガラス製品",139.760804,35.72800058,TRUE
13105011500,13105,"115","かすがにちょうめにしいせき","春日二丁目西遺跡","文京区 春日二丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][中世][近世]","包蔵地・集落・屋敷","[旧石器時代]遺物集中部　[縄文時代]炉穴　集石　陥穴　土坑　[弥生時代]土坑　[古墳時代]土坑　[中世]溝　道路状遺構（溝）　土塁状盛土　[近世]谷埋立造成　土手状遺構　溝　砂利敷き　井戸　礎石　礎石跡　地下室　土坑","（旧石器）剥片　（縄文）土器・石製装身具　（弥生）土器　（古墳〜古代）土師器・須恵器　（中世）陶磁器・土器・板碑・銭貨　（近世以降）陶磁器・土器・土製品・金属製品・銭貨・石製品・瓦・ガラス製品",139.7410479,35.71146969,TRUE
13105011800,13105,"118","こひなたいち・にちょうめみなみいせき","小日向一・二丁目南遺跡","文京区 小日向一丁目　小日向二丁目","[縄文時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・その他の墓・社寺・屋敷・その他（町屋）","[古墳時代]堅穴住居跡　炉跡　土坑など　[近世]土坑　甕棺墓　木棺墓　土器棺墓　蔵骨器　直葬墓　便所跡　建物基礎跡　神田上水　盛土","（縄文）土器　（古墳）土師器・須恵器　（古代）土師器・須恵器　（中世）陶器・土器　（近世）陶磁器・人骨・土器・金属製品・木製品・甕棺・墓石・間知石・胴木など",139.739594,35.712051,TRUE
13105012300,13105,"123","こいしかわしょくぶつえんにしいせき","小石川植物園西遺跡","文京区 白山三丁目","[縄文時代][中世][近世]","包蔵地･屋敷","[近世]石積遺構　土坑　小穴　溝状遺構","[縄文]土器　石製品(石棒)　[古墳]土師器　[近世]磁器　陶器　せっ器　土器　土製品(人形)　瓦　石製品　銅製品(煙管) 木製品(板材等)　銭貨(寛永通宝等)",139.7432795,35.7191354,TRUE
13105012600,13105,"126","こいしかわしょくぶつえんみなみいせき","小石川植物園南遺跡","文京区 白山三丁目","[旧石器時代][縄文時代][弥生時代][中世][近世]","包蔵地","[近世]地下室　土取り穴　土坑　井戸　溝状遺構","石器　縄文土器　弥生土器　陶器　磁器　近世土器　土製品　瓦　金属製品　石製品",139.747262,35.71802044,TRUE
13105012700,13105,"127","ほんごうさんちょうめみなみいせき","本郷三丁目南遺跡","文京区 本郷三丁目","[縄文時代][奈良時代][平安時代][中世][近世]","包蔵地･屋敷","[縄文時代]柱穴　[奈良・平安時代]柱穴　[近世]地下室　土坑等","縄文土器　陶磁器　土師器",139.7625399,35.70243713,TRUE
13105012900,13105,"129","こひなたいっちょうめひがしいせき","小日向一丁目東遺跡","文京区 小日向一丁目","［縄文時代］［弥生時代］［古墳時代］［奈良時代］［平安時代］［中世］［近世］","包蔵地・集落・その他の墓・屋敷","［縄文時代］ファイヤーピット?　［弥生時代］?［古墳時代］竪穴住居跡　［奈良時代］［平安時代］竪穴住居跡　土坑　［近世］地下室　溝状遺構　土坑　柱穴","［縄文時代］土器片　［弥生時代］土器片　［奈良時代］［平安時代］土師器　須恵器　石製品　［近世］陶磁器　土器　瓦　石製品　金属製品　土製品　炉器",139.7382326,35.71367191,TRUE
13105013800,13105,"138","こいしかわいっちょうめいせき","小石川一丁目遺跡","文京区 小石川一丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","屋敷　その他（水田跡）","[弥生]流路　木組遺構　溝状遺構　[古墳]溝状遺構　土坑　[奈良・平安]溝状遺構　土坑　[中世]流路　溝　水田跡　[近世]土坑　溝状遺構　井戸　上水施設　池跡　ピット　水田跡　区画溝　排水溝","[縄文]土器　[弥生]土器　石器　木製品　加工材　構造物部材　大型植物遺体　[古墳]土師器　木製品　構造物部材　[奈良・平安]土師器　須恵系土師質土器　須恵器　[中世]土器　陶器　[近世]磁器　陶器　炻器　土器　互　土製品　金属製品　木製品(繊維製品)　骨角貝製品　ガラス製品　石製品　自然遺物　土類",139.7524462,35.710494,TRUE
13105014400,13105,"144","やなぎちょういせき","柳町遺跡","文京区 小石川一丁目","[中世][近世]","屋敷","[中世]溝[近世]土坑　池　井戸　溝　埋甕　畝　礎石　竹樋　小穴","[古代]土師器[中世]陶器　土師質土器[近世]陶磁器　_器　土器　瓦　土製品　金属製品　席製品　木製品　自然遺物",139.7504831,35.71413132,TRUE
13106000401,13106,"04-1","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野公園　上野二丁目　池之端三丁目","[旧石器時代][縄文時代（早期〜晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世][近代]","包蔵地・集落・社寺・屋敷・その他の墓・その他（花卉園）","[近世]建物跡　池跡","ナイフ形石器　細石刃　剥片　縄文土器　石器　弥生土器　土師器　須恵器　埴輪　陶器（灰釉）　紡錘車　帯金具　陶磁器　焼塩壺　硯　煙管　木製品　和釘　ガラス製品　瓦塔　瓦　墨書付絹布　簪　笄　数珠玉　小形巻物　甕棺　木棺　墓石　石造物　板碑　人骨",139.7736828,35.71547164,TRUE
13106000405,13106,"04-5","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木一丁目","[旧石器時代][縄文時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・貝塚・社寺","[旧石器時代]〜[中世]礫群　陥穴　ピット群　土杭　貝塚　[近世]地下式土杭　井戸　溝　瓦留　墓杭","縄文〜古代土器　近世陶磁器瓦・石造物　旧石器〜中世礫・縄文土器・土師器・須恵器・陶器・土器　近世陶磁器・土器類・人骨",139.7701043,35.72060734,TRUE
13106000406,13106,"04-6","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木二丁目","[古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・社寺","[古墳時代]住居跡　[近世]土杭","古代土師器　中世陶器　近世陶磁器・瓦",139.7733144,35.72286506,TRUE
13106000408,13106,"04-8","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木一丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・社寺","","旧石器時代石器　古墳時代　土師器・石製品（玉類他）　奈良・平安時代　土師器・須恵器　中世陶磁器　近世陶磁器・瓦",139.7754773,35.72326921,TRUE
13106000801,13106,"08-1","せんそうじいせき","浅草寺遺跡","台東区 浅草一丁目　浅草二丁目","[縄文時代（晩期）][弥生時代][奈良時代][平安時代][中世][近世][近代]","包蔵地・集落・社寺・その他（火除地・公園地）","練塀跡　溝跡　火葬墓　井戸　杭列　池跡　井戸跡　土坑　貝殻廃棄　大型土坑　池跡（護岸・中ノ島・築堤・橋）","縄文式土器　弥生式土器　須恵器　布目瓦　中世軒瓦　陶器　古銭　（奈良）鉄鉢形土器・花瓶　（平安）灰釉水瓶　（鎌倉）灰釉土器　錫杖　光背　観音像　（古代）土師器　須恵器　（中世）瓦・陶磁器・土器・蔵骨器・板碑　（近世）陶磁器・瓦・ガラス絵　（近代）陶磁器、金属　ガラス　革製品",139.794425,35.7116722,TRUE
13106002300,13106,"23","きたいなりちょう（こうとくじあと）いせき","北稲荷町（広徳寺跡）遺跡","台東区 東上野四丁目","[古墳][奈良][平安][中世][近世]","包蔵地　社寺","[近世]建物基礎・埋桶・土坑・小穴","甕棺　銅板　仏像　墨書木札　数珠玉　木製独楽　人骨",139.7796965,35.71253637,TRUE
13106003202,13106,"32-2","てんのうじいせき","天王寺遺跡","台東区 谷中七丁目","[古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・社寺","[古代]土坑 [近世]地下式坑","古代土師器 近世陶磁器 貝殻 中近世陶磁器",139.7701609,35.72744673,TRUE
13106003600,13106,"36","あさくさしばさきちょういせき","浅草芝崎町遺跡","台東区 西浅草三丁目","[奈良時代][平安時代][中世][近世]","包蔵地・屋敷","杭列　溝　土坑　水田跡?　枡組","近世陶磁器・瓦　中世陶器・須恵器　陶磁器 木製品　金属製品　井戸枠",139.7899009,35.71707951,TRUE
13106004300,13106,"43","にしまちいせき","西町遺跡","台東区 東上野二丁目","[中世][近世]","包蔵地・屋敷","[近世]土坑　溝　池跡　基礎　基礎桶","（近世）陶磁器・土器・瓦・木製品・金属製品・石製品・土製品",139.7798159,35.70954017,TRUE
13106004600,13106,"46","せんげんじんじゃいせき","浅間神社遺跡","台東区 浅草五丁目","[中世][近世]","包蔵地・社寺・その他（塚）","井戸跡","近世陶磁器　瓦等",139.7984724,35.71935152,TRUE
13106004700,13106,"47","かみさんさきみなみいせき","上三崎南遺跡","台東区 谷中四丁目","[縄文時代][奈良時代][平安時代][中世][近世]","集落・社寺","[近世以前]土坑　[近世]土坑　溝　地下式土坑","縄文土器　土師器　須恵器　中世石造物　（近世）瓦　陶磁土器類",139.7678949,35.72259702,TRUE
13106005300,13106,"53","かみくるまざかちょういせき","上車坂町遺跡","台東区 東上野四丁目","[古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","土坑　地下式坑　井戸　溝　池　基礎　木樋　胞衣埋納遺構　埋桶　埋甕　ピット　井戸跡　建物基礎址　礎石　池跡　地業址　木組溝　排水施設","陶磁器　土器　瓦　木製品　金属製品　石製品　ガラス　棟瓦　磁器　陶器　せっ器　骨角製品",139.779439,35.71327509,TRUE
13106006200,13106,"62","したやどうほうちょういせき","下谷同朋町遺跡","台東区 上野三丁目","[縄文時代（中期〜後期）][奈良時代][平安時代][中世][近世]","包蔵地・社寺・その他（町屋・道路）","[近世]道路跡　木組溝　溝　上水遺構　土蔵跡　建物跡　石組　礎石　杭跡　地業跡　竹柵　埋桶　胞衣埋納遺構　墓坑　溝状遺構　土坑　ピット","（縄文）土器　（弥生）土器・須恵器　（中世）石製品（板碑）　（近世）磁器・陶器・炉器・土器・瓦類・土製品・木製品・金属製品・銭貨・人骨・動物遺体",139.774209,35.70676593,TRUE
13106006900,13106,"69","こまがたいせき","駒形遺跡","台東区 駒形一丁目","[古墳時代][奈良時代][平安時代][中世][近世]","集落・その他の墓・社寺・その他（町屋）","[古墳時代]〜[中世]住居跡　土坑　埋葬遺構　[近世]遺構　地下式坑　土坑等　溝　建物基礎跡　土坑等　整地跡","（古〜中）土師器・須恵器　陶器・土器　土錘　人骨　（近世）陶磁器　玩具",139.7945967,35.70728152,TRUE
13106007200,13106,"72","やなかしもさんさきいせき","谷中下三崎遺跡","台東区 谷中五丁目","[縄文時代][弥生時代（後期）][奈良時代][平安時代][中世][近世]","包蔵地・集落・社寺・屋敷","[縄文時代]土坑　溝　[中世]土坑　[近世]土坑　地下式坑　井戸　溝　植栽痕　礎石　基礎","（縄文）土器　（弥生）土器　（古代）須恵器　土師器　（中世末）陶磁器　土器・瓦　金属製品　石製品等　（近世）陶磁器・土器・瓦・木製品・金属製品・石製品等",139.7671911,35.72509159,TRUE
