"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","N"
13104006500,13104,"65","たかだのばばさんちょうめいせき","高田馬場三丁目遺跡","新宿区 高田馬場三丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代]","包蔵地・集落","[弥生時代]竪穴住居　竪穴住居跡　[古墳時代]竪穴住居跡　[近世]溝　[時期不明]土坑","剥片　砕片　縄文土器　石器　小銅鐸　管状銅製品　ガラス小玉　土師器　鉄製品　青銅製品",139.6956862,35.7132084,TRUE
13104007300,13104,"73","つくどはちまんちょういせき","筑土八幡町遺跡","新宿区 筑土八幡町　 白銀町","[縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・屋敷","[中世]井戸　土坑　[近世]建物跡　井戸　地下室状遺構　ごみ穴　溝状遺構　杭列　土坑　小穴　柱穴　井戸状遺構　桶埋設遺構　礎石　柱穴列　井戸跡　埋桶　胞衣皿埋納遺構　粘土採掘坑　[江戸時代以前]住居跡　溝状遺構　土坑","縄文土器　石器　弥生土器　土師器　須恵器　板碑　磁器　陶器　せっ器　近世土器　瓦　土製品　金属製品　木製品　骨角製品　ガラス製品　石製品　中世陶磁器",139.739444,35.70358792,TRUE
13104007700,13104,"77","かみおちあいにちょうめいせき","上落合二丁目遺跡","新宿区 上落合一丁目 上落合二丁目","[旧石器時代][縄文時代（前期～中期）][古墳時代][奈良時代][平安時代]","包蔵地・集落","[古墳時代]竪穴住居跡 [奈良時代]竪穴住居跡 土坑 掘立柱建物跡 埋納土坑 [平安時代]埋納土坑","縄文土器 土師器 ガラス小玉 土師器 須恵器 鉄製品 土製品 石製品 羽口",139.690914,35.71507608,TRUE
13104007900,13104,"79","ひゃくにんちょうさんちょうめにしいせき","百人町三丁目西遺跡","新宿区 百人町三丁目 北新宿四丁目","[旧石器時代][縄文時代（草創期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落","[旧石器時代]土坑 炉穴 土坑 石器・礫集中 [縄文時代]土坑 陥し穴 ピット [古墳時代]住居跡 井戸 土坑 ピット 掘立柱建物跡 土師器焼成坑 [平安時代]住居跡 土師器焼成坑 掘立柱建物跡 [古墳時代]～[中世]住居跡・土坑 ピット [近世]畝跡 井戸 土坑 溝 ピット [弥生時代]～[古墳時代]住居跡","礫 石器 縄文土器 弥生土器 土製品 石製品（砥石） ガラス小玉 土師器 須恵器 古墳土器 土師器 土製品（支脚） 鉄製品（刀子・鏃・鉄錐等） 墨書土器 灰釉陶器 磁器 陶器 近世土器 せっ器 金属製品 土製品 土器（台付甕・台付甕小・甕・壷・高杯）",139.6947029,35.70590669,TRUE
13104008500,13104,"85","おわりとくがわけしもやしきあといせき","尾張徳川家下屋敷跡","新宿区 戸山一丁目　 戸山二丁目　 戸山三丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[弥生時代]?[平安時代]畦畔状遺構　木道状遺構　流路跡　[中世][近世]水田跡　丸木橋状遺構　[近世]石組遺構　「御泉水」の土手　溝","石器　縄文土器　土器　須恵器　土師器　磁器　陶器　金属製品　銭貨等　磁器　陶器　金属製品　銭貨　木製品　煙管　板状部材　せっ器　近世土器　瓦",139.7134789,35.7040287,TRUE
13104010300,13104,"103","きくいちょういせき","喜久井町遺跡","新宿区 喜久井町","[旧石器時代][縄文時代（中期～後期）][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[縄文時代]ピット　遺物集中域　[縄文中期]竪穴住居跡　土坑　[縄文後期]竪穴住居跡　土坑　[奈良時代]竪穴住居跡　[平安時代]土坑　[近世]地下室　ウマ埋葬遺構　溝状遺構　道路状遺構　土坑　便所跡　礎石　小穴","縄文土器　石器　須恵器　土師器　須恵器　磁器　陶器　近世土器　せっ器　瓦　土製品　金属製品　木製品　ガラス製品　石製品",139.7218033,35.70478144,TRUE
13104012600,13104,"126","しろがねちょういせき","白銀町遺跡","新宿区 白銀町 東五軒町","[縄文時代（前期～中期）][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[奈良時代][平安時代]竪穴住居跡 [近世]地下室 土坑 土取り痕 井戸 溝 柱穴 地鎮遺構 土蔵基礎 溝・溝状遺構 池跡 埋甕 埋桶 礎石 [近世]土坑 小穴 埋桶 地下室 土取穴 ごみ穴","縄文土器 弥生土器 土師器 須恵器 磁器 陶器 せっ器 近世土器 瓦 土製品 金属製品 ガラス製品 石製品",139.7379333,35.70485643,TRUE
13104013000,13104,"130","かぐらざかよんちょうめいせき","神楽坂四丁目遺跡","新宿区 神楽坂四丁目","[縄文時代（前期～中期）][古墳時代][奈良時代][近世]","包蔵地・集落・屋敷","[近世]地下室 井戸 礎石 土坑 柱穴 小穴 [古墳時代]～[奈良時代]住居跡 溝状遺構","縄文土器 石器 土師器 石製品 磁器 陶器 せっ器 近世土器 瓦 土製品 金属製品 ガラス製品 骨角製品",139.7401134,35.70244486,TRUE
13104013800,13104,"138","しろがねちょうにしいせき","白銀町西遺跡","新宿区 白銀町 赤城元町","[縄文時代][弥生時代（後期）][古墳時代][奈良時代][中世][近世]","集落・屋敷","[弥生時代]～[古墳時代]住居跡 溝状遺構 方形周溝墓 土坑 [奈良時代]住居跡 [近世]地下室 土坑 井戸 溝 柱穴 甕棺 蔵骨器","弥生土器 土師器 須恵器 磁器 陶器 せっ器 近世土器 瓦 土製品 金属製品 骨角製品 石製品 古墳土器",139.7374699,35.70457764,TRUE
13105001600,13105,"16","かみふじまえちょういせき","上富士前町遺跡","文京区 本駒込五丁目　本駒込六丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落","[縄文時代]陥穴　[弥生時代]竪穴住居跡　[古墳時代]?[古代]住居跡　[近世]植物痕　土坑　地下室　井戸","縄文土器　弥生土器　瓦　金属器　近世陶磁器",139.7500408,35.73322968,TRUE
13105002600,13105,"26","はやしちょういせき","林町遺跡","文京区 千石二丁目","[旧石器時代][縄文時代（中期）][弥生時代][奈良時代][近世]","包蔵地・集落・屋敷","[縄文時代]炉穴 土坑 ピット　[近世]地下室 地下坑 井戸 溝状遺構 土坑 植栽痕 柱穴ピット","（旧石器）石器（剥片）（縄文）縄文土器・石器　（弥生）弥生土器　（近世）陶磁器類・せっ器・土器・土製品・木製品・金属製品・石製品",139.7412882,35.72300979,TRUE
13105003300,13105,"33","ゆみちょういせき","弓町遺跡","文京区 本郷一丁目","[旧石器時代][縄文時代][弥生時代（後期）][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[奈良時代]堅穴住居　[近世]地下室　井戸　土坑","縄文土器・敲石　土器・陶磁器・金属器　（奈良）土師器・須恵器　（近世）陶磁器・土器",139.7564631,35.70617294,TRUE
13105005100,13105,"51","まさごちょう（まさご）いせき","真砂町（真砂）遺跡","文京区 本郷四丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","集落・屋敷","[縄文時代]炉穴　[奈良平安時代]住居跡　柱穴　土坑　[近世]上水道　井戸　地下室","縄文土器　土師器　須恵器　陶磁器類",139.7560167,35.70843107,TRUE
13105005800,13105,"58","ほんごうもとまちいせき","本郷元町遺跡","文京区 本郷一丁目","[縄文時代（前期～中期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[近世・近代以降]井戸　地下式坑　土坑　柱穴群　礎石群　溝状遺構　下水施設　池　レンガ遺構　互列遺構　[近世以降]桶　土坑　溝　礎石など　[近世]地下式坑","(旧石器)ナイフ形石器など　(縄文)土器　石器　(弥生)扁平片刃石斧　土器　(古墳)土師器　須恵器　(奈良・平安)土師器　須恵器　(中世)陶器　(近世)磁器　陶器　炻器　土器　互　金属製品　石製品　土製品　木製品　自然遺物　その他",139.7568407,35.70266017,TRUE
13105005900,13105,"59","かごまちいせき","駕籠町遺跡","文京区 本駒込二丁目","[旧石器時代][縄文時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ユニット 礫群　[縄文時代]陥穴 竪穴住居跡 土坑 小穴　[奈良・平安時代]竪穴住居跡　[近世]溝状遺構 土坑 井戸 土採り・切土跡 盛土造成跡 ピット 柱穴列 小穴 地下室 植栽痕","（旧石器時代）石器　(縄文時代)縄文土器 石器　(古代～中世)須恵器　（近世）陶磁器 せっ器 土器 土製品 木製品 銭貨 金属製品 石製品 ガラス製品 瓦 自然遺物 土類 生産関連遺物 その他",139.7475023,35.730117,TRUE
13105006900,13105,"69","こひなただいまちいせき","小日向台町遺跡","文京区 小日向二丁目　小日向三丁目","[縄文時代][古墳時代][奈良時代][近世]","包蔵地・集落・社寺","","近世蔵骨器・人骨 （近世）陶磁器・土器",139.7352114,35.71470332,TRUE
13105007300,13105,"73","こひなただいまちみなみいせき","小日向台町南遺跡","文京区 小日向一丁目","[旧石器時代][縄文時代][弥生時代][奈良時代][中世][近世]","包蔵地・集落・屋敷","[縄文時代]陥穴　[弥生時代]竪穴住居跡　[奈良時代]竪穴住居跡　[中世]井戸 土坑墓　[近世]地下室 井戸","(旧石器)石器　(縄文)土器　(弥生)土器　(奈良)土師器 須恵器　(近世)陶磁器 土器",139.7361727,35.71261262,TRUE
13105008500,13105,"85","やなぎさわけこまごめやしき（むくのたち・むくのその）あと","柳沢家駒込屋敷（六義館・六義園）跡","文京区 本駒込六丁目","[縄文時代][奈良時代][平安時代][近世]","包蔵地・屋敷・その他（庭園）","[縄文時代]風倒木痕 土坑 ピット　[奈良・平安時代]土坑 ピット　[近世]溝跡 地下室 土坑 植栽痕 柱穴 小穴 礎石 地業址 基礎 道路状遺構 瓦溜り","(縄文)土器 石器　(弥生)土器　(奈良・平安)須恵器 土師器　(近世)陶磁器 せっ器 土器 土製品 瓦 金属製品 木製品 石製品 自然遺物 土類",139.7464724,35.73290396,TRUE
13105010300,13105,"103","ほんごういっちょうめみなみいせき","本郷一丁目南遺跡","文京区 本郷一丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[縄文時代]住居　[弥生時代]住居　[古墳時代]住居　[近世]地下室　溝　井戸","石器　縄文土器　弥生土器　須恵器　土師器　近世陶磁器",139.7564974,35.70341292,TRUE
13105010700,13105,"107","こひなたさんちょうめひがしいせき","小日向三丁目東遺跡","文京区 小日向三丁目","[縄文時代][古墳時代][奈良時代][近世]","包蔵地・集落・屋敷","[縄文時代]柱穴　[古墳時代]住居跡　[奈良時代]住居跡　[近世]大型土坑","土師器　近世陶磁器",139.734024,35.715233,TRUE
13105011500,13105,"115","かすがにちょうめにしいせき","春日二丁目西遺跡","文京区 春日二丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][中世][近世]","包蔵地・集落・屋敷","[旧石器時代]遺物集中部　[縄文時代]炉穴　集石　陥穴　土坑　[弥生時代]土坑　[古墳時代]土坑　[中世]溝　道路状遺構（溝）　土塁状盛土　[近世]谷埋立造成　土手状遺構　溝　砂利敷き　井戸　礎石　礎石跡　地下室　土坑","（旧石器）剥片　（縄文）土器・石製装身具　（弥生）土器　（古墳～古代）土師器・須恵器　（中世）陶磁器・土器・板碑・銭貨　（近世以降）陶磁器・土器・土製品・金属製品・銭貨・石製品・瓦・ガラス製品",139.7410479,35.71146969,TRUE
13105011800,13105,"118","こひなたいち・にちょうめみなみいせき","小日向一・二丁目南遺跡","文京区 小日向一丁目　小日向二丁目","[縄文時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・その他の墓・社寺・屋敷・その他（町屋）","[古墳時代]堅穴住居跡　炉跡　土坑など　[近世]土坑　甕棺墓　木棺墓　土器棺墓　蔵骨器　直葬墓　便所跡　建物基礎跡　神田上水　盛土","（縄文）土器　（古墳）土師器・須恵器　（古代）土師器・須恵器　（中世）陶器・土器　（近世）陶磁器・人骨・土器・金属製品・木製品・甕棺・墓石・間知石・胴木など",139.739594,35.712051,TRUE
13105012700,13105,"127","ほんごうさんちょうめみなみいせき","本郷三丁目南遺跡","文京区 本郷三丁目","[縄文時代][奈良時代][平安時代][中世][近世]","包蔵地･屋敷","[縄文時代]柱穴　[奈良・平安時代]柱穴　[近世]地下室　土坑等","縄文土器　陶磁器　土師器",139.7625399,35.70243713,TRUE
13105012900,13105,"129","こひなたいっちょうめひがしいせき","小日向一丁目東遺跡","文京区 小日向一丁目","［縄文時代］［弥生時代］［古墳時代］［奈良時代］［平安時代］［中世］［近世］","包蔵地・集落・その他の墓・屋敷","［縄文時代］ファイヤーピット?　［弥生時代］?［古墳時代］竪穴住居跡　［奈良時代］［平安時代］竪穴住居跡　土坑　［近世］地下室　溝状遺構　土坑　柱穴","［縄文時代］土器片　［弥生時代］土器片　［奈良時代］［平安時代］土師器　須恵器　石製品　［近世］陶磁器　土器　瓦　石製品　金属製品　土製品　炉器",139.7382326,35.71367191,TRUE
13105013100,13105,"131","こいしかわさんちょうめひがしいせき","小石川三丁目東遺跡","文京区 小石川三丁目","［縄文時代（早期・中期）］［弥生時代］[古墳時代][奈良時代]［近世］","包蔵地・集落・その他の墓・社寺・町家","[古墳?奈良時代]竪穴建物跡 溝 小穴［近世］埋甕 土坑 溝 井戸 植栽痕 小穴 土坑 根石 杭 埋桶 筏地業木組み","［縄文時代］土器　黒曜石剥片　［弥生時代］土器　［奈良時代］［平安時代］土師器 須恵器 土製品　［近世］陶磁器　土器　炉器 瓦 土製品 金属製品",139.7500773,35.71286351,TRUE
13105013400,13105,"134","こひなたいっちょうめきたいせき","小日向一丁目北遺跡","文京区 小日向一丁目","［縄文時代］［古墳時代］［奈良時代］［平安時代］［近世］","包蔵地・屋敷","","［縄文時代］土器片　［古墳］土師器　［古代］土師器　須恵器　［近世］陶磁器　土器　せっ器　瓦　金属製品",139.73734,35.71464756,TRUE
13105013700,13105,"137","めじろだいさんちょうめいせき","目白台三丁目遺跡","文京区 目白台三丁目","[旧石器時代][奈良時代][平安時代][近世]","包蔵地・集落跡","[奈良・平安時代]竪穴住居跡　土坑　ピット　[近世]溝跡　ピット　植栽痕","(旧石器)ナイフ形石器　(奈良・平安)土師器　(近世)陶磁器",139.725439,35.71731896,TRUE
13105013800,13105,"138","こいしかわいっちょうめいせき","小石川一丁目遺跡","文京区 小石川一丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","屋敷　その他（水田跡）","[弥生]流路　木組遺構　溝状遺構　[古墳]溝状遺構　土坑　[奈良・平安]溝状遺構　土坑　[中世]流路　溝　水田跡　[近世]土坑　溝状遺構　井戸　上水施設　池跡　ピット　水田跡　区画溝　排水溝","[縄文]土器　[弥生]土器　石器　木製品　加工材　構造物部材　大型植物遺体　[古墳]土師器　木製品　構造物部材　[奈良・平安]土師器　須恵系土師質土器　須恵器　[中世]土器　陶器　[近世]磁器　陶器　炻器　土器　互　土製品　金属製品　木製品(繊維製品)　骨角貝製品　ガラス製品　石製品　自然遺物　土類",139.7524462,35.710494,TRUE
13106000401,13106,"04-1","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野公園　上野二丁目　池之端三丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世][近代]","包蔵地・集落・社寺・屋敷・その他の墓・その他（花卉園）","[近世]建物跡　池跡","ナイフ形石器　細石刃　剥片　縄文土器　石器　弥生土器　土師器　須恵器　埴輪　陶器（灰釉）　紡錘車　帯金具　陶磁器　焼塩壺　硯　煙管　木製品　和釘　ガラス製品　瓦塔　瓦　墨書付絹布　簪　笄　数珠玉　小形巻物　甕棺　木棺　墓石　石造物　板碑　人骨",139.7736828,35.71547164,TRUE
13106000402,13106,"04-2","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木一丁目","[奈良時代][平安時代][近世]","包蔵地・集落・社寺","[近世]土坑　地下式土坑　溝　瓦　廃棄杭","古代土師器　近世陶磁器・瓦・蔵骨器・人骨",139.7701558,35.71985475,TRUE
13106000403,13106,"04-3","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 谷中七丁目","[奈良時代][平安時代][近世]","包蔵地・社寺","[近世]土坑","古代土師器　近世陶磁器・瓦",139.7703325,35.72290362,TRUE
13106000405,13106,"04-5","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木一丁目","[旧石器時代][縄文時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・貝塚・社寺","[旧石器時代]～[中世]礫群　陥穴　ピット群　土杭　貝塚　[近世]地下式土杭　井戸　溝　瓦留　墓杭","縄文～古代土器　近世陶磁器瓦・石造物　旧石器～中世礫・縄文土器・土師器・須恵器・陶器・土器　近世陶磁器・土器類・人骨",139.7701043,35.72060734,TRUE
13106000406,13106,"04-6","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木二丁目","[古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・社寺","[古墳時代]住居跡　[近世]土杭","古代土師器　中世陶器　近世陶磁器・瓦",139.7733144,35.72286506,TRUE
13106000407,13106,"04-7","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 谷中七丁目　上野桜木二丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・社寺","[奈良・平安]住居跡　[近世]溝状・道路状遺構　瓦溜　土坑","[縄文・弥生～古墳]土器　[奈良・平安]土師器、須恵器　[近世]陶磁器、土器、金属製品",139.7724904,35.72336676,TRUE
13106000408,13106,"04-8","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木一丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・社寺","","旧石器時代石器　古墳時代　土師器・石製品（玉類他）　奈良・平安時代　土師器・須恵器　中世陶磁器　近世陶磁器・瓦",139.7754773,35.72326921,TRUE
