"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","P"
13104004300,13104,"43","ひゃくにんちょうさんちょうめいせき","百人町三丁目遺跡","新宿区 百人町二丁目 百人町三丁目 百人町四丁目 大久保三丁目","[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[旧石器時代]土坑 [縄文時代]土坑 [奈良時代]ピット [近世]溝 土坑 焼土集中地点 半地下室 土坑 井戸 小穴 溝状遺構 地下室 柱穴 杭穴 胞衣理納遺構・礎石建物跡","石器 礫 縄文土器 石器 弥生土器 土師器 国分寺瓦片 磁器 陶器 土師質土器 金属製品 石製品 動物遺存体 せっ器 近世土器 瓦 土製品 木製品 石製品 自然遺物 ガラス製品 植木鉢 土製品 骨角製品 火縄銃の弾 美濃系陶器志野 内耳付焙烙",139.7008827,35.7061576,TRUE
13104004500,13104,"45","やらいちょういせき","矢来町遺跡","新宿区 矢来町","[旧石器時代][近世]","包蔵地・屋敷","[奈良・平安時代]小穴　[近世]建物跡　建物基礎　地下室　半地下施設　井戸　ごみ穴　溝　溝状遺構　畝状遺構　土坑　礎石　小穴　柱穴・坑穴　採土坑","フレーク　磁器　陶器　せっ器　ナイフ形石器　近世土器　土師器　須恵器　瓦　土製品　金属製品　木製品　ガラス製品　石製品　自然遺物　ガラス製の小壷　鍋島様式の五寸皿",139.732346,35.702518,TRUE
13104004900,13104,"49","しもとつかいせき","下戸塚遺跡","新宿区 西早稲田一丁目　 西早稲田三丁目","[旧石器時代][縄文時代（草創期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ブロック　礫群　[縄文時代]土坑　集石遺構　土坑　炉穴　陥坑　[弥生時代]竪穴式住居　環壕　方形周溝墓　土坑　[古墳時代]竪穴式住居跡　土坑　方形周溝墓　円墳　[奈良時代]竪穴式住居　土坑　掘立柱建物跡　溝　[中世]掘立柱建物跡　柵列　井戸　地下式坑　土坑　溝　方形周溝状区画溝　[近世]建物跡　柵列　地下室　井戸　土坑　溝状遺構　竪穴状遺構　畝状遺構　ピット","剥片　礫　縄文土器　石器　弥生土器　ガラス製小玉　青銅製品　土製勾玉　蓑玉　炭化米　金属製品　石製有孔円板　滑石製管玉　石製品　鉄製品　ガラス製品　ベンガラ塊　土師器　須恵器　灰釉　緑釉陶器　砥石　土製品　鉄器　墨書土器　磁器　陶器　瓦器　中世土器　埋納銭貨　青磁　土製品　瓦　木製品　近世土器",139.7169465,35.71088671,TRUE
13104006000,13104,"60","あなはちまんじんじゃいせき","穴八幡神社遺跡","新宿区 西早稲田一丁目　 西早稲田二丁目","[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）][近世]","包蔵地・集落・社寺","[縄文時代]礫群　[弥生時代]住居跡","石器　縄文土器　石器　礫　弥生土器　石鏃　棗玉　転用硯　磁器　陶器　銭貨",139.7176675,35.70731839,TRUE
13104006100,13104,"61","いちがやほんむらちょういせき","市谷本村町遺跡","新宿区 市谷本村町","[旧石器時代][縄文時代（早期～晩期）][平安時代][近世]","包蔵地・集落・屋敷","[旧石器時代]ブロック 遺物集中地点 [縄文時代]住居跡 集石 土坑 ピット 炉穴 土器埋設 [平安時代]竪穴住居跡 土坑 [近世]石垣 土塁礎石 船渠 石組遺構 地下式土坑 礎石建物跡 掘立柱建物跡 土坑 柱穴乱杭護岸 土蔵基礎 埋桶 井戸 寵跡 池 石櫃遺構 溝 塀 ごみ穴 焼土跡 瓦組 地下室 木組構築 石組構築 土器埋設 杭列 瓦溜 溝状遺構 礎石 塀関係 木桶 道路関係 畝状遺構 大型土坑 地震断層 硬化面 土手状遺構 焼土溜 砂利敷 石組溝 埋甕 植栽痕 ピット [近世][近代]礎石列 水琴窟状 レンガ組遺構 レンガ桝","石器（4層段階石器群） 縄文土器 土師器 須恵器 鉄製品 鉄滓 板碑片? 磁器 陶器 近世土器 瓦 土製品 ミニチュア 金属製品 銭貨 木製品 漆器類 骨角製品 ガラス製品 石製品 石塔 繊維 せっ器 近世陶磁器類 レンガ",139.7290067,35.69304468,TRUE
13104006500,13104,"65","たかだのばばさんちょうめいせき","高田馬場三丁目遺跡","新宿区 高田馬場三丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代]","包蔵地・集落","[弥生時代]竪穴住居　竪穴住居跡　[古墳時代]竪穴住居跡　[近世]溝　[時期不明]土坑","剥片　砕片　縄文土器　石器　小銅鐸　管状銅製品　ガラス小玉　土師器　鉄製品　青銅製品",139.6956862,35.7132084,TRUE
13104006800,13104,"68","きたしんじゅくさんちょうめいせき","北新宿三丁目遺跡","新宿区 北新宿三丁目","[旧石器時代][縄文時代（前期～中期）][弥生時代（後期）][古墳時代][中世][近世]","包蔵地・集落","[弥生時代]竪穴住居跡　[古墳時代]竪穴住居跡　[中世]地下式壙　土坑　小穴　[近世]地下室　土坑　柱穴　溝","石器　尖頭器　石核　剥片　縄文土器　弥生土器　ガラス小玉　炭化米　古墳土器　ガラス小玉　磁器　陶器　せっ器　近世土器　瓦　金属製品",139.689965,35.70440123,TRUE
13104007400,13104,"74","しんじゅくよんちょうめいせき","新宿四丁目遺跡","新宿区 新宿四丁目","[旧石器時代][近世]","包蔵地・屋敷","","",139.702821,35.68834309,TRUE
13104007700,13104,"77","かみおちあいにちょうめいせき","上落合二丁目遺跡","新宿区 上落合一丁目 上落合二丁目","[旧石器時代][縄文時代（前期～中期）][古墳時代][奈良時代][平安時代]","包蔵地・集落","[古墳時代]竪穴住居跡 [奈良時代]竪穴住居跡 土坑 掘立柱建物跡 埋納土坑 [平安時代]埋納土坑","縄文土器 土師器 ガラス小玉 土師器 須恵器 鉄製品 土製品 石製品 羽口",139.690914,35.71507608,TRUE
13104007900,13104,"79","ひゃくにんちょうさんちょうめにしいせき","百人町三丁目西遺跡","新宿区 百人町三丁目 北新宿四丁目","[旧石器時代][縄文時代（草創期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落","[旧石器時代]土坑 炉穴 土坑 石器・礫集中 [縄文時代]土坑 陥し穴 ピット [古墳時代]住居跡 井戸 土坑 ピット 掘立柱建物跡 土師器焼成坑 [平安時代]住居跡 土師器焼成坑 掘立柱建物跡 [古墳時代]～[中世]住居跡・土坑 ピット [近世]畝跡 井戸 土坑 溝 ピット [弥生時代]～[古墳時代]住居跡","礫 石器 縄文土器 弥生土器 土製品 石製品（砥石） ガラス小玉 土師器 須恵器 古墳土器 土師器 土製品（支脚） 鉄製品（刀子・鏃・鉄錐等） 墨書土器 灰釉陶器 磁器 陶器 近世土器 せっ器 金属製品 土製品 土器（台付甕・台付甕小・甕・壷・高杯）",139.6947029,35.70590669,TRUE
13104008000,13104,"80","にしわせださんちょうめいせき","西早稲田三丁目遺跡","新宿区 西早稲田三丁目 高田馬場二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ブロック 礫群 [縄文時代]集石 集石土坑 住居跡 [弥生時代]竪穴住居跡 [弥生時代][古墳時代]住居跡 掘立柱建物跡 方形周溝墓 溝状遺構 土坑 [古墳時代]住居跡 掘立柱建物跡 土坑 竪穴式住居跡 [近世]地下室 溝状遺構 土坑","石器 礫 縄文土器 弥生土器 ガラス製品 壷棺 鉄釧 土師器 須恵器 土製品 石製品 鉄製品 古墳土器 磁器 陶器 金属製品 骨製品 木製品 せっ器 近世土器",139.7115907,35.71294957,TRUE
13104008400,13104,"84","すみよしちょうにしいせき","住吉町西遺跡","新宿区 住吉町 市谷台町 余丁町","[旧石器時代][縄文時代（中期）][近世]","包蔵地・屋敷","[縄文時代]陥し穴 柱穴 性格不明遺構 [近世]地下室 土坑 井戸 溝 建物跡 飛石 池 胞衣皿埋納遺構 半地下室 道路遺構 柱穴 小穴","石器 縄文土器 磁器 陶器 せっ器 近世土器 瓦 土製品 金属製品 木製品 骨角製品 ガラス製品 石製品",139.71763,35.69486265,TRUE
13104008500,13104,"85","おわりとくがわけしもやしきあといせき","尾張徳川家下屋敷跡","新宿区 戸山一丁目　 戸山二丁目　 戸山三丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[弥生時代]?[平安時代]畦畔状遺構　木道状遺構　流路跡　[中世][近世]水田跡　丸木橋状遺構　[近世]石組遺構　「御泉水」の土手　溝","石器　縄文土器　土器　須恵器　土師器　磁器　陶器　金属製品　銭貨等　磁器　陶器　金属製品　銭貨　木製品　煙管　板状部材　せっ器　近世土器　瓦",139.7134789,35.7040287,TRUE
13104008800,13104,"88","いちがやかがちょうにちょうめいせき","市谷加賀町二丁目遺跡","新宿区 市谷加賀町二丁目 市谷柳町","[旧石器時代][縄文時代（早期～後期）][近世]","包蔵地・集落・屋敷","[縄文時代]土坑 柱穴 竪穴住居跡 竪穴状遺構 陥し穴 ピット 住居跡 [近世]地下室 土坑 井戸 溝 建物跡 塀跡 柱穴 ピット列 池状遺構 馬場跡 [古墳時代]土杭","黒曜石フレーク 縄文土器 礫 石器 土製品 磁器 陶器 せっ器 近世土器 瓦 土製品 金属製品 ガラス製品 石製品 古墳土器 骨角製品 ミニチュア",139.7285411,35.69747797,TRUE
13104009500,13104,"95","いちがやかがちょういっちょうめいせき","市谷加賀町一丁目遺跡","新宿区 市谷加賀町一丁目","[旧石器時代][縄文時代][近世]","包蔵地・屋敷","[縄文時代]陥し穴　[近世]地下室　井戸　溝　建物跡　杭列　土坑　胞衣皿埋納遺構","石器　磁器　陶器　せっ器　近世土器　瓦　金属製品　木製品　ガラス製品　石製品",139.7305838,35.69729674,TRUE
13104009600,13104,"96","いちがやさないちょういせき","市谷左内町遺跡","新宿区 市谷左内町 市谷鷹匠町","[旧石器時代][縄文時代][近世]","包蔵地・屋敷","[近世]地下室 井戸 建物跡 土坑","石器 磁器 陶器 せっ器 近世土器 瓦 金属製品 木製品 ガラス製品 石製品",139.73244,35.69481524,TRUE
13104010100,13104,"101","ぎょうがんじあと","行元寺跡","新宿区 神楽坂五丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][平安時代][中世][近世]","包蔵地・社寺","[旧石器時代]礫群　[縄文時代]遺物集中部　[古墳時代]竪穴住居跡　[平安時代]竪穴住居跡　[中世]地点貝塚　[中世][近世]土壙墓　板碑集中壙　方形区画溝・溝状遺構　建物跡　竹樋　地下室・室状遺構　井戸・井戸状遺構　水溜状遺構　池跡?　ごみ穴　方形土坑　石列　埋桶　埋甕　胞衣埋納遺構　胎児埋葬遺構　イヌ埋葬遺構","石器　礫　縄文土器　石器　弥生土器　土師器　須恵器　磁器　陶器　せっ器　土器　瓦　土製品　金属製品　木製品　骨角製品　ガラス製品　石製品（板碑等）",139.7391693,35.70264002,TRUE
13104010300,13104,"103","きくいちょういせき","喜久井町遺跡","新宿区 喜久井町","[旧石器時代][縄文時代（中期～後期）][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[縄文時代]ピット　遺物集中域　[縄文中期]竪穴住居跡　土坑　[縄文後期]竪穴住居跡　土坑　[奈良時代]竪穴住居跡　[平安時代]土坑　[近世]地下室　ウマ埋葬遺構　溝状遺構　道路状遺構　土坑　便所跡　礎石　小穴","縄文土器　石器　須恵器　土師器　須恵器　磁器　陶器　近世土器　せっ器　瓦　土製品　金属製品　木製品　ガラス製品　石製品",139.7218033,35.70478144,TRUE
13104010700,13104,"107","きたしんじゅくにちょうめいせき","北新宿二丁目遺跡","新宿区 北新宿一丁目 北新宿二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代]","包蔵地・集落","[旧石器時代]礫群 石器集中部 [縄文時代]炉穴 埋甕 土坑 竪穴住居跡 柱穴 根穴 [弥生時代]竪穴住居跡 炉穴 柱穴 土坑 方形周溝墓 溝跡 住居跡 [弥生～古墳時代]竪穴住居跡 掘立柱建物跡 [古墳時代]竪穴住居跡 [近世]柱穴","ナイフ形石器 石核 剥片 石器 自然遺物 縄文土器 石器 弥生土器 土製品 石製品（砥石） 銅製品（銅釧） 土師器 磁器 陶器 せっ器 土器 瓦 金属製品 ガラス玉 銭貨",139.6900837,35.70114116,TRUE
13104011000,13104,"110","みずのはらいせき","水野原遺跡","新宿区 若松町","[旧石器時代][縄文時代（早期～後期][近世]","包蔵地・屋敷","[近世]地下室 井戸 建物跡 大甕埋設遺構 桶埋設遺構 胞衣埋納遺構 溝状遺構 柵・柱穴列 瓦溜り 畝状遺構 耕作関連遺構 盛土状遺構 土坑 小穴 ごみ穴 道路 溝 柱穴 建物基礎 小穴列 礎石跡 ピット列 焼土跡 雛壇状の段切り [縄文時代]土器埋設土坑","縄文土器 磁器 陶器 せっ器 近世土器 瓦 土製品 金属製品 木製品 ガラス製品 石製品 骨角製品 銭貨 煉瓦 土管",139.7204484,35.69892663,TRUE
13104011600,13104,"116","なかおちあいにちょうめいせき","中落合二丁目遺跡","新宿区 中落合二丁目","[旧石器時代][縄文時代（早期）]","包蔵地","","石器　縄文土器　弥生土器　磁器　陶器",139.6929396,35.71817019,TRUE
13104014100,13104,"141","しょっこうざんいせき","蜀江山遺跡","新宿区 北新宿一丁目","[旧石器時代][近世]","包蔵地","[旧石器時代]土坑　[近世?]道路　建物","ナイフ形石器　敲石　磨石　鋸歯縁石器　彫器　調整器　CRF　RF　UF　石核　剥片　焼礫",139.6918346,35.69893859,TRUE
13104015800,13104,"158","しもおちあいにちょうめいせき","下落合二丁目遺跡","新宿区 下落合二丁目","[旧石器時代][縄文時代][弥生時代][古墳時代]","包蔵地","","",139.7039383,35.71780997,TRUE
13105000700,13105,"7","こひなたにちょうめひがしいせき","小日向二丁目東遺跡","文京区 小日向二丁目","[旧石器時代][縄文時代][古墳時代][近世]","包蔵地・集落・屋敷","[古墳時代]竪穴建物跡　[近世]地下室・土坑・大型土坑・植栽痕・ピッ","(旧石器)石器　(縄文)土器　打斧　石鏃　(古墳)土師器　(近世)磁器・陶器・炻器・土器・互・土製品・金属製品・石製品・自然遺物",139.7354517,35.71342103,TRUE
13105001400,13105,"14","どうざかいせき","動坂遺跡","文京区 本駒込三丁目　本駒込四丁目","[旧石器時代][縄文時代（中期～晩期）][弥生時代][近世]","包蔵地・集落・貝塚・屋敷","[縄文時代]貝塚　堅穴住居跡　集石跡　土坑　溝　[近世]地下室　溝　柱穴","（縄文）土器・石器（打製石器・磨製石器・石鏃・石皿・）　（弥生）土器　（近世）陶磁器・土器・瓦・金属製品・土製品・石製品など",139.7560854,35.72972681,TRUE
13105002100,13105,"21","こいしかわしょくぶつえんないかいづか・はらまちいせき","小石川植物園内貝塚・原町遺跡","文京区 白山三丁目　白山四丁目","[旧石器時代][縄文時代（中期～晩期）][近世]","包蔵地・集落・貝塚・屋敷跡","[縄文時代]竪穴住居跡　土坑　集石　ピット　[近世]土坑　地下室　ピット　地下坑　井戸　溝　塀跡　かわらけ廃棄遺構","(旧石器)石器　(縄文)土器　石器（打斧　磨斧　石槍　石鏃　石匙　石皿　凹石　石棒　石剣）　土偶　(近世)陶磁器　土器　土製品　瓦　金属製品　石製品　銭貨　動物遺体　自然遺物",139.7455797,35.7204176,TRUE
13105002500,13105,"25","せんだぎかいづか","千駄木貝塚","文京区 千駄木一丁目","[旧石器時代][縄文時代][弥生時代（後期）][近世]","集落・貝塚・その他の墓・屋敷","[縄文時代]炉　土坑　住居　集石　炉　廃屋跡　[弥生時代]住居","（縄文）土器・石器・石製品・人骨　（弥生）土器　（近）陶磁器",139.758987,35.722748,TRUE
13105002600,13105,"26","はやしちょういせき","林町遺跡","文京区 千石二丁目","[旧石器時代][縄文時代（中期）][弥生時代][奈良時代][近世]","包蔵地・集落・屋敷","[縄文時代]炉穴 土坑 ピット　[近世]地下室 地下坑 井戸 溝状遺構 土坑 植栽痕 柱穴ピット","（旧石器）石器（剥片）（縄文）縄文土器・石器　（弥生）弥生土器　（近世）陶磁器類・せっ器・土器・土製品・木製品・金属製品・石製品",139.7412882,35.72300979,TRUE
13105003300,13105,"33","ゆみちょういせき","弓町遺跡","文京区 本郷一丁目","[旧石器時代][縄文時代][弥生時代（後期）][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[奈良時代]堅穴住居　[近世]地下室　井戸　土坑","縄文土器・敲石　土器・陶磁器・金属器　（奈良）土師器・須恵器　（近世）陶磁器・土器",139.7564631,35.70617294,TRUE
13105004700,13105,"47","ほんごうだいいせきぐん","本郷台遺跡群","文京区 本郷五丁目　本郷七丁目　弥生二丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][平安時代][近世]","包蔵地・集落・貝塚・その他の墓・社寺・屋敷・その他（町屋）","[旧石器時代]石器ブロック　礫群　[縄文時代]遺物集中部　陥穴　[古墳時代]住居跡　[平安時代]住居跡　井戸　[近（近世）]地下式坑　建物跡　組石遺構　土坑　溝　庭園址　井戸　道路状遺構など","（旧石器）ナイフ形石器・石核・剥片・石屑　砕片　（縄文）土器・石器　（弥生）土器　（古墳）土師器・土製品・須恵器　（奈良）土師器・須恵器　（平安）土師器・須恵器・灰釉陶器・緑釉陶器・土錘　（近世）陶磁器・土器・瓦・土製品・石製品・金属製品・古銭・骨角製品・動物遺存体・せっ器・瓦器・ガラス製品・木製品",139.7634819,35.71205684,TRUE
13105004800,13105,"48","かすがちょう（こいしかわこうらくえん）いせき","春日町（小石川後楽園）遺跡","文京区 後楽一丁目　 春日一丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][平安時代][近世]","包蔵地・集落・屋敷","[弥生～古墳]竪穴建物跡、土坑、ピット、[近世]井戸、道路、木樋、柱穴、上水道、土坑、屋敷跡、地下室、溝、礎石、植栽痕、[近代]煉瓦基礎、堀、石垣、[近代以降]高射砲陣地関連以降","[旧石器]ナイフ形石器、[縄文]土器、[弥生]土器、石器、[古墳～平安]土師器、須恵器、[近世]磁器、陶器、土器、瓦、木製品、金属製品、ガラス製品、石製品、漆製品、銭貨動物遺存体、[近代]煉瓦",139.7507982,35.70558749,TRUE
13105005000,13105,"50","","文京区No.50遺跡","文京区 春日一丁目","[旧石器時代][弥生時代（後期）][近世]","包蔵地・屋敷・その他（町屋）","[近世]井戸跡　地下室　土坑　ピット　胞衣皿埋納遺構　植栽痕　井戸","（旧石器）石器　（弥生）土器　（近世）陶磁器・土器・瓦・金属製品など",139.7468157,35.70915589,TRUE
13105005100,13105,"51","まさごちょう（まさご）いせき","真砂町（真砂）遺跡","文京区 本郷四丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","集落・屋敷","[縄文時代]炉穴　[奈良平安時代]住居跡　柱穴　土坑　[近世]上水道　井戸　地下室","縄文土器　土師器　須恵器　陶磁器類",139.7560167,35.70843107,TRUE
13105005600,13105,"56","こまごめあさかまちいせき","駒込浅嘉町遺跡","文京区 本駒込一丁目　本駒込三丁目","[旧石器時代][縄文時代][近世]","包蔵地・屋敷・その他（町屋・道路跡）","[縄文]柱穴　[近世]土坑　井戸　道路跡　地下室","（縄文）土器　（近世）近世陶磁器・瓦・金属器・木製品・陶磁器・土器",139.7536135,35.72515596,TRUE
13105005900,13105,"59","かごまちいせき","駕籠町遺跡","文京区 本駒込二丁目","[旧石器時代][縄文時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ユニット 礫群　[縄文時代]陥穴 竪穴住居跡 土坑 小穴　[奈良・平安時代]竪穴住居跡　[近世]溝状遺構 土坑 井戸 土採り・切土跡 盛土造成跡 ピット 柱穴列 小穴 地下室 植栽痕","（旧石器時代）石器　(縄文時代)縄文土器 石器　(古代～中世)須恵器　（近世）陶磁器 せっ器 土器 土製品 木製品 銭貨 金属製品 石製品 ガラス製品 瓦 自然遺物 土類 生産関連遺物 その他",139.7475023,35.730117,TRUE
13105007300,13105,"73","こひなただいまちみなみいせき","小日向台町南遺跡","文京区 小日向一丁目","[旧石器時代][縄文時代][弥生時代][奈良時代][中世][近世]","包蔵地・集落・屋敷","[縄文時代]陥穴　[弥生時代]竪穴住居跡　[奈良時代]竪穴住居跡　[中世]井戸 土坑墓　[近世]地下室 井戸","(旧石器)石器　(縄文)土器　(弥生)土器　(奈良)土師器 須恵器　(近世)陶磁器 土器",139.7361727,35.71261262,TRUE
13105008200,13105,"82","こまごめにしかたまちいせき","駒込西片町遺跡","文京区 西片二丁目","[旧石器時代][縄文時代][近世]","包蔵地・屋敷","地下室　井戸　柱穴","石器　縄文土器　陶磁器類",139.7555364,35.7175709,TRUE
13105009302,13105,"93-2","としまがおかぼちだい2ちてん","豊島岡墓地第2地点","文京区 大塚五丁目","[旧石器時代][近世]","包蔵地・屋敷","[近世]溝　柱穴","ナイフ形石器　陶磁器　かわらけ　瓦　寛永通宝",139.7265597,35.72390171,TRUE
13105009700,13105,"97","だんござかうえいせき","団子坂上遺跡","文京区 千駄木一丁目　千駄木三丁目　千駄木五丁目","[旧石器時代][縄文時代（中期）][弥生時代（中期）][平安時代][近世]","包蔵地・集落・社寺・屋敷・その他（町屋）","[旧石器時代]遺物集中部　[縄文時代]堅穴住居跡　土坑　溝　埋甕　[弥生時代]堅穴住居跡　溝　溝状遺構　環濠　[平安]竪穴住居跡　溝　[近世]地下室　土坑　礎石　大型土坑　ピット　[近世以降]版築基礎建物跡　掘立柱建物跡　礎石　地下室　土坑　ピット群","（旧石器）ナイフ形石器・石核　（縄文）土器・土製品・石器・炉石　（弥生）土器・石器　（平安）土師器・須恵器・鉄製品・鉄滓　（近世）陶磁器・せっ器・土器・瓦・土製品・銅製品・鉄製品・貝・金属製品・木製品・石製品など",139.7612503,35.72554791,TRUE
13105010300,13105,"103","ほんごういっちょうめみなみいせき","本郷一丁目南遺跡","文京区 本郷一丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[縄文時代]住居　[弥生時代]住居　[古墳時代]住居　[近世]地下室　溝　井戸","石器　縄文土器　弥生土器　須恵器　土師器　近世陶磁器",139.7564974,35.70341292,TRUE
