"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","K"
13103002500,13103,"25","まるやまこふんぐん","丸山古墳群","港区 芝公園四丁目","[古墳時代]","古墳","","",139.7474845,35.65553201,TRUE
13103002501,13103,"25-1","まるやまこふんぐん　いちごうふん","丸山古墳群　1号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","土師器　須恵器　鉄鏃　鹿角製刀子　刀子　管玉　棗玉　ガラス小玉　大刀　直刀　金環　人骨",139.7474502,35.65461143,TRUE
13103002502,13103,"25-2","まるやまこふんぐん　にごうふん","丸山古墳群　2号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳","",139.7468494,35.6548625,TRUE
13103002503,13103,"25-3","まるやまこふんぐん　さんごうふん","丸山古墳群　3号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳","",139.7466262,35.65519726,TRUE
13103002504,13103,"25-4","まるやまこふんぐん　よんごうふん","丸山古墳群　4号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]竪穴式石室?","円筒埴輪　人骨",139.7464889,35.65565755,TRUE
13103002505,13103,"25-5","まるやまこふんぐん　ごごうふん","丸山古墳群　5号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","須恵器　鉄鏃　刀子　埴輪　玉類　直刀　馬具　人骨",139.7465232,35.65610388,TRUE
13103002506,13103,"25-6","まるやまこふんぐん　ろくごうふん","丸山古墳群　6号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","須恵器　鉄鏃　管玉　直刀　銅環　鉄環　人骨",139.7468494,35.65646653,TRUE
13103002507,13103,"25-7","まるやまこふんぐん　ななごうふん","丸山古墳群　7号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","鉄鏃　人物埴輪　直刀　銅環　人骨",139.7473129,35.6563131,TRUE
13103002508,13103,"25-8","まるやまこふんぐん　はちごうふん","丸山古墳群　8号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","須恵器　埴輪　玉類　刀　槍　人骨",139.7477249,35.65645258,TRUE
13103002509,13103,"25-9","まるやまこふんぐん　きゅうごうふん","丸山古墳群　9号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","土師器　須恵器　鉄鏃　埴輪　玉類　直刀　銅釧　人骨",139.748051,35.65628521,TRUE
13103002600,13103,"26","","港区No.26遺跡","港区 芝公園四丁目","[古墳時代]","古墳","","",139.7473472,35.65747078,TRUE
13103002800,13103,"28","","港区No.28遺跡","港区 芝公園四丁目","[古墳時代]","横穴墓","","",139.7462486,35.65836343,TRUE
13103002900,13103,"29","こうようかんないかいづかいせき","紅葉館内貝塚遺跡","港区 芝公園四丁目","[縄文時代][弥生時代][古墳時代]","集落・貝塚","住居跡","縄文土器　磨斧　石鏃",139.7454246,35.65865633,TRUE
13103003300,13103,"33","","港区No.33遺跡","港区 麻布台一丁目","[古墳時代]","古墳？","円墳","",139.7406146,35.66122309,TRUE
13103003600,13103,"36","","港区No.36遺跡","港区 六本木六丁目","[古墳時代]","古墳","円墳","",139.7316628,35.66153105,TRUE
13103004900,13103,"49","","港区No.49遺跡","港区 南麻布五丁目","[古墳時代]","古墳","前方後円墳?","",139.724762,35.65140484,TRUE
13103005400,13103,"54","ねこづか（おせんちやま）いせき","猫塚（オセンチ山）遺跡","港区 三田一丁目","[古墳時代]","古墳","円墳","",139.7432998,35.65271046,TRUE
13103005700,13103,"57","かめづかいせき","亀塚遺跡","港区 三田四丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、都指定史跡亀塚となっています。 円墳","土師器　須恵器",139.740881,35.64355127,TRUE
13103006000,13103,"60","いさらごかいづかいせき","伊皿子貝塚遺跡","港区 三田四丁目","[縄文時代（後期）][弥生時代][古墳時代][平安時代][近世]","集落・貝塚・社寺","[縄文時代]住居　土坑　[弥生時代]方形周溝墓　[古墳時代]住居　[平安時代]住居 [近世]礎石　溝状遺構　石垣","縄文土器　弥生土器　土師器　土製品　石製品　貝製品　牛骨　魚骨　陶磁器",139.739954,35.64150056,TRUE
13103006100,13103,"61","","港区No.61遺跡","港区 三田三丁目","[古墳時代]","古墳？","","石棺?",139.7409325,35.64282586,TRUE
13103007100,13103,"71","","港区No.71遺跡","港区 白金台二丁目","[古墳時代]","横穴墓？","","",139.7287446,35.63218105,TRUE
13103007500,13103,"75","みただいまちいせき","三田台町遺跡","港区 三田四丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代]","集落","[弥生時代]?　住居　[古墳時代]住居","石器　縄文土器　弥生土器　土師器　須恵器",139.7391129,35.64187723,TRUE
13103009900,13103,"99","むつはちのへはんなんぶけやしきあとかそういせき","陸奥八戸藩南部家屋敷跡下層遺跡","港区 六本木一丁目","[縄文時代（前期〜中期）][弥生時代][古墳時代]","集落","[弥生時代]住居　溝","縄文土器　けつ状耳飾　弥生土器　土師器",139.7407608,35.66317679,TRUE
13103010000,13103,"100","","港区No.100遺跡","港区 虎ノ門四丁目","[縄文時代（前期〜後期）][弥生時代][古墳時代][奈良時代][平安時代]","包蔵地","","縄文土器　打斧　磨斧　磨石　弥生土器　土師器　須恵器",139.7431641,35.66505958,TRUE
13103012300,13103,"123","","港区No.123遺跡","港区 高輪二丁目","[古墳時代]","集落","[古墳時代]住居","土器",139.7359715,35.63622708,TRUE
13103013300,13103,"133","おうみやまがみはんいながきけやしきあといせき","近江山上藩稲垣家屋敷跡遺跡","港区 六本木一丁目","[縄文時代（前）][古墳時代][奈良時代][近世]","集落跡　屋敷","[縄文時代]住居跡[古墳時代]住居跡[奈良時代]住居跡[近世]土坑　地下室　井戸　廃棄土坑　上水跡","[縄文時代]土器[古墳時代]土師器[奈良時代]須恵器[近世]陶磁器　土器　瓦",139.74222,35.66511537,TRUE
13103015600,13103,"156","いわみつわのはんかめいけやしきあといせき","石見津和野藩亀井家屋敷跡遺跡","港区 南麻布四丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・墳墓・屋敷","土坑　礎石　道路状遺構　大型方形区画　井戸　墳墓","[縄文時代]土器　[中世]陶器　[江]陶磁器　土器　瓦",139.7271824,35.65049816,TRUE
13103015900,13103,"159","みょうげんいんあといせき","妙玄院跡遺跡","港区 高輪三丁目","[弥生時代（後期）][古墳時代][近世]","社寺・集落","土坑　住居跡","[弥生時代]〜[古墳時代]土器　[近世]陶磁器　土器　瓦",139.7308388,35.63159505,TRUE
13103021400,13103,"214","ちくごくるめはんありまけやしきあといせき","筑後久留米藩有馬家屋敷跡遺跡","港区 三田一丁目","[古墳時代][奈良時代][平安時代][近世]","集落・屋敷","[近世]土坑　小穴　等","[近世]陶磁器　瓦等　[古墳時代][奈良時代][平安時代]土師器片",139.7411666,35.65279476,TRUE
13104000200,13104,"2","おちあいいせき","落合遺跡","新宿区 中落合四丁目　 中井一丁目　 中井二丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[旧石器時代]礫群　[縄文時代]竪穴住居　土坑　炉跡　集石　土器焼成坑　ピット　[弥生時代]竪穴住居　掘立柱建物跡　方形周溝墓　[古墳時代]住居　[奈良時代][平安時代]掘立柱建物　竪穴住居跡　土坑　[近世]杭列　焼土　溝状遺構　ピット　[時期不明]建物　住居　ピット　溝","石器　ナイフ形石器　石核　剥片　砕片　縄文土器　打斧　石槍　石鏃　石核　弥生土器　石包丁　土師器　須恵器　鉄製品　陶磁器　刀子　砥石　坏",139.6805457,35.71627471,TRUE
13104000800,13104,"8","かみおちあいにちょうめいせき","上落合二丁目西遺跡","新宿区 上落合二丁目","[古墳時代][平安時代]","集落","[古墳時代]建物跡　[平安時代]住居跡","土師器　土製丸玉　須恵器　土製支脚　鉄器・鉄製品",139.6861762,35.71273451,TRUE
13104001000,13104,"10","とやまがはらうえのだいいせき","戸山ヶ原上ノ台遺跡","新宿区 百人町四丁目　 北新宿四丁目","[旧石器時代][縄文時代（中期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代]","包蔵地・集落","[旧石器時代]集中地点　[縄文時代]竪穴住居跡　土坑　炉穴　集石　ピット　[古墳時代]竪穴住居跡　住居跡　ピット　[近世]土坑　ピット","ナイフ形石器　角錐状石器　リタッチドフレイク　フレイク　チップ　縄文土器　土偶　土製垂飾品　石器　弥生土器　土師器　　灰釉陶器　鉄器　陶磁器類　煙草吸口　銭貨　笄　ガラス瓶類",139.6947029,35.70849936,TRUE
13104001700,13104,"17","いちがやさどはらちょうさんちょうめいせき","市谷砂土原町三丁目遺跡","新宿区 市谷砂土原町三丁目","[縄文時代（前期、中期、後期）][弥生時代（後期）][古墳時代][奈良時代][近世]","包蔵地・集落・屋敷","[近世]ごみ穴 土坑 土取穴 地下室 井戸 植栽痕 溝状遺構 小穴 建物跡 採土坑 井戸跡 厠跡 貝類集中部 石列","磁器 陶器 せっ器 土器 瓦 土製品 金属製品 木製品 骨角製品 ガラス製品 石製品",139.7368646,35.69725793,TRUE
13104001800,13104,"18","うしごめじょうあといせき","牛込城跡","新宿区 袋町 北町 中町 若宮町","[縄文時代][弥生時代（後期）][古墳時代][中世][近世]","集落・城館・屋敷・その他の墓","[弥生時代]住居跡 [近世]地下室 土坑 井戸 甕埋納遺構 小穴 大型土坑 墓 植栽痕 溝状遺構 礎石","磁器 陶器 せっ器 土器 瓦 土製品 金属製品 石製品 貝類 骨角製品 ガラス製品",139.7380147,35.70067335,TRUE
13104003500,13104,"35","みょうしょうじがわNo.1いせき","妙正寺川No.1遺跡","新宿区 西落合二丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地","[旧石器時代]礫群　[縄文時代]土坑　[近世]水田址　井戸状遺構","材　縄文土器　石器　木製品　弥生土器　陶器　磁器　埴輪　土製品　石製品　金属製品　土師器",139.6748036,35.72067884,TRUE
13104004300,13104,"43","ひゃくにんちょうさんちょうめいせき","百人町三丁目遺跡","新宿区 百人町二丁目 百人町三丁目 百人町四丁目 大久保三丁目","[旧石器時代][縄文時代（早期・中期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[旧石器時代]土坑 [縄文時代]土坑 [奈良時代]ピット [近世]溝 土坑 焼土集中地点 半地下室 土坑 井戸 小穴 溝状遺構 地下室 柱穴 杭穴 胞衣理納遺構・礎石建物跡","石器 礫 縄文土器 石器 弥生土器 土師器 国分寺瓦片 磁器 陶器 土師質土器 金属製品 石製品 動物遺存体 せっ器 近世土器 瓦 土製品 木製品 石製品 自然遺物 ガラス製品 植木鉢 土製品 骨角製品 火縄銃の弾 美濃系陶器志野 内耳付焙烙",139.7008827,35.7061576,TRUE
13104004900,13104,"49","しもとつかいせき","下戸塚遺跡","新宿区 西早稲田一丁目　 西早稲田三丁目","[旧石器時代][縄文時代（草創期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ブロック　礫群　[縄文時代]土坑　集石遺構　土坑　炉穴　陥坑　[弥生時代]竪穴式住居　環壕　方形周溝墓　土坑　[古墳時代]竪穴式住居跡　土坑　方形周溝墓　円墳　[奈良時代]竪穴式住居　土坑　掘立柱建物跡　溝　[中世]掘立柱建物跡　柵列　井戸　地下式坑　土坑　溝　方形周溝状区画溝　[近世]建物跡　柵列　地下室　井戸　土坑　溝状遺構　竪穴状遺構　畝状遺構　ピット","剥片　礫　縄文土器　石器　弥生土器　ガラス製小玉　青銅製品　土製勾玉　蓑玉　炭化米　金属製品　石製有孔円板　滑石製管玉　石製品　鉄製品　ガラス製品　ベンガラ塊　土師器　須恵器　灰釉　緑釉陶器　砥石　土製品　鉄器　墨書土器　磁器　陶器　瓦器　中世土器　埋納銭貨　青磁　土製品　瓦　木製品　近世土器",139.7169465,35.71088671,TRUE
13104006500,13104,"65","たかだのばばさんちょうめいせき","高田馬場三丁目遺跡","新宿区 高田馬場三丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][奈良時代]","包蔵地・集落","[弥生時代]竪穴住居　竪穴住居跡　[古墳時代]竪穴住居跡　[近世]溝　[時期不明]土坑","剥片　砕片　縄文土器　石器　小銅鐸　管状銅製品　ガラス小玉　土師器　鉄製品　青銅製品",139.6956862,35.7132084,TRUE
13104006600,13104,"66","みなみちょういせき","南町遺跡","新宿区 南町 中町 北町 箪笥町","[縄文時代][弥生時代（後期）][古墳時代][近世]","集落・屋敷","[縄文時代]陥し穴 [弥生時代]竪穴住居跡 小穴 [古墳時代]竪穴住居跡 [近世]溝 地割溝 溝状遺構 井戸 地下室 半地下室 礎石 胞衣処理埋納遺構 土坑 小穴 柱穴 生垣 建物跡 段切状遺構","縄文土器 弥生土器 ガラス小玉 炭化米 種子 磁器 陶器 せっ器 近世土器 瓦 土製品 金属製品（銭貨含む） 木製品 骨角製品 ガラス製品 石製品",139.736599,35.69930264,TRUE
13104006800,13104,"68","きたしんじゅくさんちょうめいせき","北新宿三丁目遺跡","新宿区 北新宿三丁目","[旧石器時代][縄文時代（前期〜中期）][弥生時代（後期）][古墳時代][中世][近世]","包蔵地・集落","[弥生時代]竪穴住居跡　[古墳時代]竪穴住居跡　[中世]地下式壙　土坑　小穴　[近世]地下室　土坑　柱穴　溝","石器　尖頭器　石核　剥片　縄文土器　弥生土器　ガラス小玉　炭化米　古墳土器　ガラス小玉　磁器　陶器　せっ器　近世土器　瓦　金属製品",139.689965,35.70440123,TRUE
13104007300,13104,"73","つくどはちまんちょういせき","筑土八幡町遺跡","新宿区 筑土八幡町　 白銀町","[縄文時代（早期〜晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・屋敷","[中世]井戸　土坑　[近世]建物跡　井戸　地下室状遺構　ごみ穴　溝状遺構　杭列　土坑　小穴　柱穴　井戸状遺構　桶埋設遺構　礎石　柱穴列　井戸跡　埋桶　胞衣皿埋納遺構　粘土採掘坑　[江戸時代以前]住居跡　溝状遺構　土坑","縄文土器　石器　弥生土器　土師器　須恵器　板碑　磁器　陶器　せっ器　近世土器　瓦　土製品　金属製品　木製品　骨角製品　ガラス製品　石製品　中世陶磁器",139.739444,35.70358792,TRUE
13104007700,13104,"77","かみおちあいにちょうめいせき","上落合二丁目遺跡","新宿区 上落合一丁目 上落合二丁目","[旧石器時代][縄文時代（前期〜中期）][古墳時代][奈良時代][平安時代]","包蔵地・集落","[古墳時代]竪穴住居跡 [奈良時代]竪穴住居跡 土坑 掘立柱建物跡 埋納土坑 [平安時代]埋納土坑","縄文土器 土師器 ガラス小玉 土師器 須恵器 鉄製品 土製品 石製品 羽口",139.690914,35.71507608,TRUE
13104007900,13104,"79","ひゃくにんちょうさんちょうめにしいせき","百人町三丁目西遺跡","新宿区 百人町三丁目 北新宿四丁目","[旧石器時代][縄文時代（草創期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落","[旧石器時代]土坑 炉穴 土坑 石器・礫集中 [縄文時代]土坑 陥し穴 ピット [古墳時代]住居跡 井戸 土坑 ピット 掘立柱建物跡 土師器焼成坑 [平安時代]住居跡 土師器焼成坑 掘立柱建物跡 [古墳時代]〜[中世]住居跡・土坑 ピット [近世]畝跡 井戸 土坑 溝 ピット [弥生時代]〜[古墳時代]住居跡","礫 石器 縄文土器 弥生土器 土製品 石製品（砥石） ガラス小玉 土師器 須恵器 古墳土器 土師器 土製品（支脚） 鉄製品（刀子・鏃・鉄錐等） 墨書土器 灰釉陶器 磁器 陶器 近世土器 せっ器 金属製品 土製品 土器（台付甕・台付甕小・甕・壷・高杯）",139.6947029,35.70590669,TRUE
13104008000,13104,"80","にしわせださんちょうめいせき","西早稲田三丁目遺跡","新宿区 西早稲田三丁目 高田馬場二丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ブロック 礫群 [縄文時代]集石 集石土坑 住居跡 [弥生時代]竪穴住居跡 [弥生時代][古墳時代]住居跡 掘立柱建物跡 方形周溝墓 溝状遺構 土坑 [古墳時代]住居跡 掘立柱建物跡 土坑 竪穴式住居跡 [近世]地下室 溝状遺構 土坑","石器 礫 縄文土器 弥生土器 ガラス製品 壷棺 鉄釧 土師器 須恵器 土製品 石製品 鉄製品 古墳土器 磁器 陶器 金属製品 骨製品 木製品 せっ器 近世土器",139.7115907,35.71294957,TRUE
13104008500,13104,"85","おわりとくがわけしもやしきあといせき","尾張徳川家下屋敷跡","新宿区 戸山一丁目　 戸山二丁目　 戸山三丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[弥生時代]?[平安時代]畦畔状遺構　木道状遺構　流路跡　[中世][近世]水田跡　丸木橋状遺構　[近世]石組遺構　「御泉水」の土手　溝","石器　縄文土器　土器　須恵器　土師器　磁器　陶器　金属製品　銭貨等　磁器　陶器　金属製品　銭貨　木製品　煙管　板状部材　せっ器　近世土器　瓦",139.7134789,35.7040287,TRUE
13104010100,13104,"101","ぎょうがんじあと","行元寺跡","新宿区 神楽坂五丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][平安時代][中世][近世]","包蔵地・社寺","[旧石器時代]礫群　[縄文時代]遺物集中部　[古墳時代]竪穴住居跡　[平安時代]竪穴住居跡　[中世]地点貝塚　[中世][近世]土壙墓　板碑集中壙　方形区画溝・溝状遺構　建物跡　竹樋　地下室・室状遺構　井戸・井戸状遺構　水溜状遺構　池跡?　ごみ穴　方形土坑　石列　埋桶　埋甕　胞衣埋納遺構　胎児埋葬遺構　イヌ埋葬遺構","石器　礫　縄文土器　石器　弥生土器　土師器　須恵器　磁器　陶器　せっ器　土器　瓦　土製品　金属製品　木製品　骨角製品　ガラス製品　石製品（板碑等）",139.7391693,35.70264002,TRUE
13104010700,13104,"107","きたしんじゅくにちょうめいせき","北新宿二丁目遺跡","新宿区 北新宿一丁目 北新宿二丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代（後期）][古墳時代]","包蔵地・集落","[旧石器時代]礫群 石器集中部 [縄文時代]炉穴 埋甕 土坑 竪穴住居跡 柱穴 根穴 [弥生時代]竪穴住居跡 炉穴 柱穴 土坑 方形周溝墓 溝跡 住居跡 [弥生〜古墳時代]竪穴住居跡 掘立柱建物跡 [古墳時代]竪穴住居跡 [近世]柱穴","ナイフ形石器 石核 剥片 石器 自然遺物 縄文土器 石器 弥生土器 土製品 石製品（砥石） 銅製品（銅釧） 土師器 磁器 陶器 せっ器 土器 瓦 金属製品 ガラス玉 銭貨",139.6900837,35.70114116,TRUE
13104011500,13104,"115","かしわぎよどばしちょういせき","柏木淀橋町遺跡","新宿区 北新宿二丁目","[縄文時代（前期〜中期）][古墳時代][中世][近世]","包蔵地・その他（町屋）","","",139.6884014,35.69609467,TRUE
13104012700,13104,"127","みなみえのきちょういせき","南榎町遺跡","新宿区 南榎町 弁天町 榎町","[古墳時代][近世]","包蔵地・屋敷・その他(町屋)","[縄文時代]焼土遺構 [近世]大型土坑 方形土坑 円形土坑 小穴 埋桶 地下室 土取穴 ごみ穴 礎石 石組溝 埋甕 埋鉢 石組遺構 掘り抜き井戸 土坑 ピット","（縄文）土器 石器 （弥生） 土器 （古墳時代？）土師器 須恵器 （近世）舶載陶磁器（中国・西洋） 磁器 陶器 せっ器 土器 瓦 土製品 金属製品 木製品 石製品 骨角製品 ガラス製品",139.7288157,35.70307336,TRUE
13104013000,13104,"130","かぐらざかよんちょうめいせき","神楽坂四丁目遺跡","新宿区 神楽坂四丁目","[縄文時代（前期〜中期）][古墳時代][奈良時代][近世]","包蔵地・集落・屋敷","[近世]地下室 井戸 礎石 土坑 柱穴 小穴 [古墳時代]〜[奈良時代]住居跡 溝状遺構","縄文土器 石器 土師器 石製品 磁器 陶器 せっ器 近世土器 瓦 土製品 金属製品 ガラス製品 骨角製品",139.7401134,35.70244486,TRUE
13104013800,13104,"138","しろがねちょうにしいせき","白銀町西遺跡","新宿区 白銀町 赤城元町","[縄文時代][弥生時代（後期）][古墳時代][奈良時代][中世][近世]","集落・屋敷","[弥生時代]〜[古墳時代]住居跡 溝状遺構 方形周溝墓 土坑 [奈良時代]住居跡 [近世]地下室 土坑 井戸 溝 柱穴 甕棺 蔵骨器","弥生土器 土師器 須恵器 磁器 陶器 せっ器 近世土器 瓦 土製品 金属製品 骨角製品 石製品 古墳土器",139.7374699,35.70457764,TRUE
13104015800,13104,"158","しもおちあいにちょうめいせき","下落合二丁目遺跡","新宿区 下落合二丁目","[旧石器時代][縄文時代][弥生時代][古墳時代]","包蔵地","","",139.7039383,35.71780997,TRUE
13105000100,13105,"1","おおつかいせき","大塚遺跡","文京区 大塚一丁目","[縄文時代][古墳時代][近世]","集落・屋敷","[縄文時代]陥穴　[古墳時代]堅穴住居跡　[近世以降]地下室　大型土坑　土坑　井戸など","（縄文）石鏃・土器　（弥生）土器　（古墳）土師器・須恵器・金属製品　（中世）板碑　（近世以降）陶磁器・土器・瓦・漆器・土製品・石製品・石塔・金属製品・銭貨類",139.7352457,35.7172957,TRUE
13105000200,13105,"2","おおつかこふん","大塚古墳","文京区 大塚一丁目","[古墳時代？]","古墳","円墳?","",139.7344217,35.71637583,TRUE
13105000300,13105,"3","おおつかさんちょうめいせき","大塚三丁目遺跡","文京区 大塚三丁目","[縄文時代][古墳時代][中世][近世]","包蔵地・貝塚?・屋敷・その他（村）","[縄文時代]土坑　[中世]溝　[近世]地下室　井戸　土坑　柱穴列　礎石列など","（縄文）土器・石器　（古墳）土師器・須恵器　（中世）せっ器・土製品・板碑　（近世）陶磁器・せっ器・土器・土製品・瓦・金属製品・石製品など",139.7373743,35.7204176,TRUE
13105000700,13105,"7","こひなたにちょうめひがしいせき","小日向二丁目東遺跡","文京区 小日向二丁目","[旧石器時代][縄文時代][古墳時代][近世]","包蔵地・集落・屋敷","[古墳時代]竪穴建物跡　[近世]地下室・土坑・大型土坑・植栽痕・ピッ","(旧石器)石器　(縄文)土器　打斧　石鏃　(古墳)土師器　(近世)磁器・陶器・炻器・土器・互・土製品・金属製品・石製品・自然遺物",139.7354517,35.71342103,TRUE
13105001100,13105,"11","でんづういんうらかいづか","伝通院裏貝塚","文京区 小石川三丁目","[縄文時代][弥生時代][古墳時代][近世]","包蔵地・集落・貝塚?・社寺・屋敷","[弥生時代]?[古墳時代]堅穴住居跡　土坑　ピット　[近世]地下室　土坑　井戸　溝　焼土集中部　小穴","（縄文〜古代）土器　（古墳）土師器　（近世）陶磁器・せっ器・土器・土製品・瓦・木製品",139.7466784,35.71247324,TRUE
13105001300,13105,"13","あけぼのちょうこふん","曙町古墳","文京区 本駒込一丁目","[古墳時代？]","古墳","円墳","",139.7523089,35.72384597,TRUE
13105001500,13105,"15","ふじじんじゃこふん","富士神社古墳","文京区 本駒込五丁目","[古墳時代]","古墳","前方後円墳？","土師器　埴輪",139.7512446,35.73117605,TRUE
13105001600,13105,"16","かみふじまえちょういせき","上富士前町遺跡","文京区 本駒込五丁目　本駒込六丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落","[縄文時代]陥穴　[弥生時代]竪穴住居跡　[古墳時代]?[古代]住居跡　[近世]植物痕　土坑　地下室　井戸","縄文土器　弥生土器　瓦　金属器　近世陶磁器",139.7500408,35.73322968,TRUE
13105002000,13105,"20","ごてんまちこふん","御殿町古墳","文京区 白山二丁目","[古墳時代]","古墳","円墳?","",139.7484636,35.71782531,TRUE
13105002300,13105,"23","はくさんじんじゃこふん","白山神社古墳","文京区 白山五丁目","[古墳時代]","古墳","円墳？","",139.7505067,35.72222407,TRUE
13105003700,13105,"37","つばきやまこふん","椿山古墳","文京区 本郷七丁目","[古墳時代]","古墳","","切石",139.7611666,35.71038249,TRUE
